BGP table version is 0, local router ID is 100.100.174.206
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 10.0.106.192/31  100.100.243.130                        0 65084 64601 i
*> 10.0.112.0/20    100.100.243.130                        0 65084 64601 i
*> 10.0.114.1/32    100.100.243.130                        0 65084 64601 64637 i
*> 10.0.114.14/32   100.100.243.130                        0 65084 64601 i
*> 10.0.114.32/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.33/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.34/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.35/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.36/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.37/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.38/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.39/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.40/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.41/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.42/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.43/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.44/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.45/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.46/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.47/32   100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.114.48/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.114.49/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.114.50/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.114.51/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.115.64/32   100.100.243.130                        0 65084 64601 64614 64650 i
*> 10.0.115.65/32   100.100.243.130                        0 65084 64601 64614 64650 i
*> 10.0.115.66/32   100.100.243.130                        0 65084 64601 64614 64650 i
*> 10.0.115.67/32   100.100.243.130                        0 65084 64601 64614 64650 i
*> 10.0.115.68/32   100.100.243.130                        0 65084 64601 64614 64650 i
*> 10.0.115.69/32   100.100.243.130                        0 65084 64601 64614 64650 i
*> 10.0.116.0/24    100.100.243.130                        0 65084 64601 i
*> 10.0.122.40/31   100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.122.96/27   100.100.243.130                        0 65084 64601 i
*> 10.0.122.126/31  100.100.243.130                        0 65084 64601 64614 64698 i
*> 10.0.122.134/31  100.100.243.130                        0 65084 64601 i
*> 10.0.122.150/32  100.100.243.130                        0 65084 64601 64614 64698 i
*> 10.0.122.151/32  100.100.243.130                        0 65084 64601 64614 64698 i
*> 10.0.122.154/31  100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.122.156/31  100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.122.158/31  100.100.243.130                        0 65084 64601 64613 64698 i
*> 10.0.126.0/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.1/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.2/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.3/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.4/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.5/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.6/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.7/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.8/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.9/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.10/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.11/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.12/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.13/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.14/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.15/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.16/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.17/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.18/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.19/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.20/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.21/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.22/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.23/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.24/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.25/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.26/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.27/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.28/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.29/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.30/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.31/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.32/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.33/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.34/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.35/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.36/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.37/32   100.100.243.130                        0 65084 64601 64639 64698 i
